person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,cb_person_default_on_file_Y
50,58800,12.0,22000,17.74,0.37,15,False,False,False,False,False,False,False,False,False
35,21600,0.0,3000,14.35,0.14,9,False,False,True,False,False,False,False,False,False
24,30000,0.0,9000,15.58,0.3,3,False,False,True,True,False,False,False,False,False
23,70000,4.0,2000,7.66,0.03,2,False,False,True,False,False,False,True,False,False
24,85000,8.0,20000,11.11,0.24,4,False,False,False,True,False,False,False,False,False
24,57000,0.0,2400,12.69,0.04,4,False,False,False,False,False,True,False,False,False
26,45996,5.0,9225,11.011694892245036,0.2,2,False,True,False,False,True,False,False,False,False
24,200000,8.0,12000,12.69,0.06,2,False,False,True,False,False,False,False,True,False
26,55500,3.0,10000,11.011694892245036,0.18,4,False,False,True,False,False,True,False,False,True
21,55600,2.0,6000,11.011694892245036,0.11,3,False,False,True,False,False,False,True,False,False
25,50000,3.0,12000,16.77,0.24,3,False,False,True,False,False,False,True,False,False
24,30000,5.0,2000,21.27,0.07,3,False,False,True,False,False,True,False,False,True
31,95000,5.0,18000,11.71,0.19,9,False,False,False,False,False,False,False,True,False
28,125004,12.0,6000,7.51,0.05,10,False,False,True,False,False,False,True,False,False
22,38400,5.0,4000,10.59,0.1,3,False,False,True,True,False,False,False,False,False
26,58000,0.0,3500,8.59,0.06,3,False,False,True,False,False,False,True,False,False
24,85000,1.0,12000,7.88,0.14,3,False,False,False,False,False,False,False,False,False
34,154000,4.0,4000,10.37,0.03,8,False,False,False,False,False,False,True,False,False
26,53000,4.0,5000,15.95,0.09,2,False,False,True,False,False,False,False,False,True
25,100000,9.0,8000,10.25,0.08,3,False,False,False,True,False,False,False,False,False
23,130000,7.0,15000,13.22,0.12,3,False,True,False,False,False,False,False,True,True
33,125000,2.0,20000,7.88,0.16,7,False,False,False,False,False,False,False,False,False
29,40000,1.0,10000,13.16,0.25,7,False,False,True,False,True,False,False,False,False
23,35004,4.0,5000,14.72,0.14,3,False,False,True,False,False,True,False,False,True
26,122000,4.0,4800,11.011694892245036,0.04,2,False,False,False,False,False,False,False,False,True
26,57000,6.0,9000,12.99,0.16,4,False,False,False,False,False,True,False,False,True
28,30000,3.0,5000,9.88,0.17,8,False,False,True,False,False,True,False,False,False
35,138000,2.0,14000,7.9,0.1,8,False,False,True,False,False,False,True,False,False
27,78262,4.0,11525,11.011694892245036,0.15,8,False,False,True,False,True,False,False,False,False
25,134748,4.0,25000,10.75,0.19,3,False,False,False,False,True,False,False,False,False
24,55000,2.0,8000,14.61,0.15,2,False,False,True,False,True,False,False,False,False
35,50000,5.0,6000,13.49,0.12,6,False,False,False,False,True,False,False,False,False
39,50400,4.0,7000,11.86,0.14,11,False,False,True,True,False,False,False,False,False
21,63000,5.0,11200,10.99,0.18,4,False,False,False,False,False,False,False,False,False
30,54000,8.0,24000,18.72,0.44,8,False,False,False,False,True,False,False,False,False
34,156000,4.0,35000,11.011694892245036,0.22,5,False,False,True,True,False,False,False,False,False
24,55000,2.0,4500,7.9,0.08,2,False,False,True,False,False,False,False,False,False
28,70000,13.0,5000,6.99,0.07,7,False,False,False,False,True,False,False,False,False
26,69654,10.0,7500,11.011694892245036,0.11,3,False,False,False,False,False,True,False,False,True
39,128000,12.0,20000,13.11,0.16,15,False,False,False,False,True,False,False,False,True
44,17112,4.0,1200,7.66,0.07,14,False,False,True,False,False,False,False,False,False
26,94000,1.0,5000,7.68,0.05,3,False,False,False,False,False,False,False,False,False
29,66000,10.0,7000,9.91,0.11,6,False,False,False,False,False,False,False,False,False
31,56000,15.0,3000,14.27,0.05,5,False,False,True,False,True,False,False,False,True
25,85000,5.0,9600,13.85,0.11,2,False,False,False,True,False,False,False,False,False
25,30000,5.0,8000,12.87,0.27,4,False,False,True,False,False,False,True,False,False
43,41000,7.0,6000,13.22,0.15,16,False,False,False,False,False,True,False,False,True
28,91000,6.0,15000,9.88,0.16,9,False,False,False,False,False,False,True,False,False
32,35000,2.0,5500,11.49,0.16,7,False,False,True,False,False,False,True,False,False
23,92500,5.0,2500,11.011694892245036,0.03,2,False,False,False,True,False,False,False,False,False
28,36000,4.0,4000,6.91,0.11,8,False,False,False,False,False,True,False,False,False
32,180000,12.0,10000,7.9,0.06,10,False,False,False,False,False,False,True,False,False
29,35000,1.0,3600,8.0,0.1,9,False,False,False,False,False,False,True,False,False
26,83957,4.0,3000,8.94,0.04,3,False,False,False,False,False,True,False,False,False
36,62400,0.0,2400,7.49,0.04,14,False,False,False,False,False,False,True,False,False
39,72000,9.0,15000,11.86,0.21,15,False,False,False,False,False,False,False,False,False
22,52800,3.0,7000,17.58,0.13,3,False,False,True,False,False,False,True,False,False
26,155142,6.0,23000,18.25,0.15,2,False,False,False,False,False,False,True,False,False
29,40800,2.0,3500,11.97,0.09,9,False,False,True,False,False,False,False,False,True
28,116000,10.0,25000,12.18,0.22,10,False,False,False,False,False,True,False,False,False
29,145000,0.0,25000,10.08,0.17,8,False,False,False,False,False,False,False,True,False
39,68000,1.0,5000,13.49,0.07,11,False,False,True,True,False,False,False,False,True
27,97000,0.0,12000,6.91,0.12,7,False,False,False,False,False,False,False,True,False
25,40800,4.0,1000,15.57,0.02,2,False,False,True,False,False,False,False,False,False
24,56000,8.0,5000,14.27,0.09,4,False,False,True,False,False,False,True,False,False
33,76248,17.0,10400,7.66,0.14,5,False,False,False,True,False,False,False,False,False
25,60000,5.0,10425,8.49,0.17,4,False,False,False,False,False,False,True,False,False
27,82000,11.0,10000,7.51,0.12,6,False,False,False,False,False,False,False,True,False
31,20000,3.0,5000,11.83,0.25,7,False,True,False,False,False,False,True,False,False
33,99996,14.0,6000,11.11,0.06,7,False,False,False,False,False,False,True,False,False
23,28800,7.0,12250,7.51,0.43,4,False,True,False,False,False,True,False,False,False
50,42000,3.0,10000,14.84,0.24,13,False,False,False,False,True,False,False,False,True
26,130000,0.0,4000,10.99,0.03,3,False,False,True,True,False,False,False,False,False
23,80004,2.0,19000,10.62,0.24,2,False,False,False,False,False,False,False,True,False
31,54996,5.0,5000,8.0,0.09,9,False,False,True,False,False,False,True,False,False
28,58200,8.0,4500,11.12,0.08,7,False,False,False,False,False,False,True,False,False
29,80000,5.0,22000,10.59,0.28,10,False,False,False,False,False,True,False,False,False
26,27600,2.0,2500,11.71,0.09,3,False,True,False,False,False,False,False,True,False
26,44000,10.0,8000,13.8,0.18,3,False,False,True,False,False,False,True,False,False
35,14400,2.0,5550,10.37,0.39,8,False,True,False,False,False,False,False,False,False
23,51319,2.0,20000,10.37,0.39,3,False,False,False,False,False,False,False,True,False
26,39672,10.0,11500,15.7,0.29,4,False,False,False,False,False,False,True,False,False
22,50000,6.0,10000,11.011694892245036,0.2,3,False,False,False,False,False,False,False,True,True
23,50952,0.0,4000,11.54,0.08,4,False,False,True,True,False,False,False,False,True
33,30000,17.0,10000,5.79,0.33,6,False,False,False,False,True,False,False,False,False
29,80000,2.0,35000,12.68,0.44,10,False,False,True,False,False,False,False,False,True
23,60000,0.0,8000,11.14,0.13,3,False,False,True,False,False,False,False,True,False
26,79500,1.0,6000,11.36,0.08,2,False,False,False,True,False,False,False,False,False
24,42000,8.0,2500,15.28,0.06,2,False,False,False,False,True,False,False,False,False
22,39996,0.0,7500,11.86,0.19,3,False,False,True,False,False,False,True,False,False
27,49500,6.0,6000,11.22,0.12,8,False,False,True,False,False,False,True,False,False
23,60000,1.0,8000,12.21,0.13,4,False,False,True,False,False,False,False,True,False
40,130000,0.0,24250,6.17,0.19,16,False,False,False,False,False,False,False,False,False
29,70000,6.0,7000,7.74,0.1,6,False,False,True,True,False,False,False,False,False
22,23000,2.0,7750,11.011694892245036,0.34,4,False,False,True,True,False,False,False,False,True
29,80496,2.0,10000,13.72,0.12,10,False,False,False,False,True,False,False,False,False
32,52000,0.0,2500,8.88,0.05,10,False,False,True,False,False,False,True,False,False
25,45000,4.0,15000,11.011694892245036,0.33,2,False,False,True,False,False,False,False,False,False
26,110000,10.0,8000,14.35,0.07,2,False,False,False,False,False,False,False,True,True
26,74500,8.0,5000,11.36,0.07,2,False,False,True,False,False,False,False,True,False
23,21888,8.0,6600,11.11,0.3,2,False,False,True,True,False,False,False,False,False
26,16800,4.0,10625,11.011694892245036,0.63,3,False,False,True,False,False,False,True,False,False
22,125004,6.0,30000,7.9,0.24,2,False,False,False,True,False,False,False,False,False
24,47000,3.0,6000,7.66,0.13,2,False,False,True,False,False,False,True,False,False
26,62000,2.0,12000,11.011694892245036,0.19,4,False,False,False,False,False,False,True,False,False
25,35000,9.0,4800,11.14,0.14,2,False,False,True,False,False,False,False,True,False
40,100010,11.0,8000,9.99,0.08,17,False,False,False,False,False,False,True,False,False
25,46800,5.0,12000,13.11,0.26,4,False,False,True,True,False,False,False,False,False
26,94000,1.0,5000,7.68,0.05,3,False,False,False,False,False,True,False,False,False
39,11820,4.0,1500,11.11,0.13,11,False,False,True,False,False,True,False,False,False
23,23421,3.0,4500,17.99,0.19,3,False,False,True,False,False,True,False,False,True
25,180000,9.0,20000,14.26,0.11,4,False,True,False,False,False,True,False,False,True
24,59000,5.0,21500,16.89,0.36,3,False,False,True,False,False,True,False,False,False
26,26400,6.0,6000,6.0,0.23,4,False,False,True,False,False,True,False,False,False
43,40000,3.0,18000,11.83,0.45,15,False,False,False,False,False,True,False,False,False
31,69000,2.0,14000,6.03,0.2,10,False,False,True,False,False,False,True,False,False
22,65000,6.0,16000,13.47,0.25,3,False,False,True,False,False,False,False,False,True
24,50000,3.0,10000,14.27,0.2,4,False,False,True,False,True,False,False,False,True
24,80000,8.0,18000,10.62,0.23,2,False,False,False,True,False,False,False,False,False
25,78000,9.0,8000,7.9,0.1,4,False,False,False,True,False,False,False,False,False
29,75000,4.0,5000,15.62,0.07,10,False,True,False,True,False,False,False,False,False
22,77000,6.0,12400,7.51,0.16,2,False,False,False,False,False,False,False,True,False
28,123000,7.0,4000,8.59,0.03,5,False,True,False,False,False,False,True,False,False
31,72000,0.0,8000,7.9,0.11,7,False,False,True,False,True,False,False,False,False
24,36000,4.0,6500,5.42,0.18,2,False,True,False,True,False,False,False,False,False
29,70000,13.0,8000,7.49,0.11,5,False,False,True,True,False,False,False,False,False
21,33280,0.0,6000,13.23,0.18,2,False,False,True,False,False,False,False,True,True
44,200000,4.0,20000,7.51,0.1,11,False,False,False,False,False,False,False,True,False
27,30000,8.0,11000,9.91,0.37,6,False,False,True,False,False,False,True,False,False
32,115000,2.0,4000,12.69,0.03,10,False,False,True,True,False,False,False,False,False
21,26785,6.0,9000,7.9,0.34,4,False,False,True,False,False,True,False,False,False
24,98000,2.0,5000,13.22,0.05,3,False,False,False,False,False,False,True,False,True
21,17000,4.0,7000,10.62,0.41,2,False,False,True,False,False,False,False,False,False
26,105400,6.0,24000,14.61,0.19,3,False,False,False,False,False,True,False,False,False
22,60000,5.0,2100,14.65,0.04,2,False,False,True,False,False,False,False,False,False
29,45500,6.0,10000,10.65,0.22,10,False,False,False,False,True,False,False,False,False
32,40000,16.0,16000,5.99,0.4,10,False,False,False,False,False,False,False,False,False
23,10000,4.0,1000,10.37,0.1,2,False,False,True,False,False,False,True,False,False
23,88000,7.0,10000,8.94,0.11,2,False,False,False,False,False,True,False,False,False
28,20000,0.0,2150,10.37,0.11,6,False,False,True,False,False,True,False,False,False
22,65000,6.0,16000,8.49,0.25,4,False,False,True,False,False,True,False,False,False
23,150000,7.0,30000,9.99,0.2,3,False,False,False,False,False,True,False,False,False
34,65000,3.0,5000,6.99,0.08,7,False,False,False,False,False,False,False,True,False
27,48000,5.0,4300,12.69,0.09,7,False,False,False,False,False,False,False,False,False
32,78000,0.0,13000,12.87,0.17,10,False,False,True,True,False,False,False,False,True
24,49278,4.0,11000,13.22,0.22,2,False,False,True,False,False,False,False,False,True
25,48000,8.0,11000,7.51,0.23,4,False,False,True,False,False,True,False,False,False
31,30000,4.0,10000,14.42,0.33,9,False,False,True,False,False,False,False,False,False
25,26780,0.0,6000,9.25,0.22,4,False,False,True,False,False,False,False,False,False
24,41000,1.0,7000,12.53,0.17,2,False,False,True,False,False,True,False,False,False
27,71500,2.0,15000,11.011694892245036,0.21,8,False,False,False,True,False,False,False,False,False
23,95000,2.0,35000,7.9,0.37,2,False,False,True,False,False,False,False,True,False
25,33280,1.0,5500,11.011694892245036,0.17,2,False,False,True,False,False,False,True,False,False
24,48000,8.0,6000,12.22,0.13,4,False,False,True,False,False,True,False,False,True
27,78000,4.0,6000,12.18,0.08,10,False,True,False,False,False,False,False,True,False
23,46500,0.0,10000,14.26,0.22,3,False,False,True,False,False,False,True,False,True
23,78000,5.0,3000,16.89,0.04,3,False,False,True,False,False,False,False,True,False
37,32000,4.0,10000,13.79,0.31,15,False,False,True,False,False,False,False,False,False
31,73000,9.0,18000,17.39,0.25,10,False,False,False,False,False,False,False,False,True
32,65000,4.0,6000,7.49,0.09,5,False,False,True,False,False,True,False,False,False
38,45600,5.0,9000,16.29,0.2,13,False,False,True,False,False,False,False,True,True
31,97500,3.0,6000,7.51,0.06,9,False,False,False,False,False,True,False,False,False
22,64000,3.0,14400,11.71,0.23,2,False,False,False,False,False,False,False,False,False
28,178000,5.0,25000,14.46,0.14,7,False,False,True,True,False,False,False,False,True
30,43500,5.0,11250,13.61,0.26,9,False,False,False,True,False,False,False,False,True
33,12000,4.0,1000,7.88,0.08,7,False,False,True,True,False,False,False,False,False
27,50000,0.0,8000,7.9,0.16,8,False,False,True,True,False,False,False,False,False
28,62000,3.0,9200,10.0,0.15,9,False,False,True,False,False,True,False,False,False
37,220000,0.0,30000,9.91,0.14,17,False,False,True,True,False,False,False,False,False
37,45996,11.0,6000,9.25,0.13,16,False,False,False,False,False,False,False,True,False
33,24000,3.0,1600,8.88,0.07,6,False,False,True,True,False,False,False,False,False
29,62532,6.0,9000,13.49,0.14,6,False,False,True,False,False,False,False,True,False
24,37000,2.0,5000,11.58,0.14,3,True,False,False,True,False,False,False,False,False
35,26400,4.0,8000,11.011694892245036,0.3,8,False,False,True,False,False,False,True,False,False
25,35000,5.0,10000,11.99,0.29,4,False,False,False,False,True,False,False,False,False
24,40000,3.0,10500,11.36,0.26,4,False,False,False,False,False,False,False,True,False
23,26400,7.0,3800,7.9,0.14,2,False,False,True,True,False,False,False,False,False
21,87547,2.0,12000,5.99,0.14,2,False,False,False,True,False,False,False,False,False
42,150000,19.0,18400,11.011694892245036,0.12,17,False,False,True,False,False,True,False,False,False
23,74000,1.0,15000,15.65,0.2,2,False,False,True,False,False,False,False,True,False
27,80000,4.0,15000,6.54,0.19,8,False,False,False,False,False,True,False,False,False
21,44000,5.0,8000,16.29,0.18,3,False,False,True,False,False,False,False,True,False
23,70000,7.0,3500,6.03,0.05,3,False,False,False,False,False,False,False,True,False
31,28452,4.0,1500,11.11,0.05,5,False,False,True,False,False,False,True,False,False
25,58000,9.0,19900,11.83,0.34,4,False,False,True,False,False,True,False,False,False
32,47500,2.0,5300,11.49,0.11,8,False,False,True,False,False,True,False,False,False
23,122004,7.0,11200,10.99,0.09,3,False,False,False,True,False,False,False,False,False
24,23000,2.0,1600,11.011694892245036,0.07,2,False,False,True,True,False,False,False,False,True
26,126000,4.0,7500,13.92,0.06,2,False,False,False,False,False,False,False,False,False
22,81600,6.0,1300,6.39,0.02,3,False,False,False,False,False,False,True,False,False
32,36000,3.0,5000,10.0,0.14,6,False,True,False,True,False,False,False,False,False
26,59497,2.0,7000,17.88,0.1,2,False,True,False,False,False,True,False,False,False
23,51036,7.0,15000,13.16,0.29,4,False,False,False,True,False,False,False,False,False
24,40000,2.0,2500,9.99,0.06,2,False,False,False,False,True,False,False,False,False
22,35000,6.0,8000,5.79,0.23,4,False,False,False,True,False,False,False,False,False
36,55500,15.0,7875,11.99,0.14,12,False,False,False,True,False,False,False,False,False
42,13200,4.0,2500,11.011694892245036,0.19,14,False,False,True,False,False,False,False,False,True
21,34500,2.0,11500,15.31,0.33,2,False,False,True,False,True,False,False,False,False
21,38000,5.0,14000,11.12,0.37,3,False,True,False,True,False,False,False,False,False
27,42000,1.0,3000,11.83,0.07,9,False,False,True,False,False,False,True,False,False
25,115000,3.0,7600,6.99,0.07,4,False,False,False,True,False,False,False,False,False
22,40000,0.0,6400,14.22,0.16,2,False,True,False,False,False,False,False,True,True
22,92700,1.0,9250,7.9,0.1,3,False,False,False,False,False,False,False,True,False
23,55000,7.0,4200,9.91,0.08,3,False,False,True,False,False,True,False,False,False
24,79992,0.0,7500,10.71,0.09,4,False,False,True,False,False,False,False,False,False
22,38117,0.0,13500,11.83,0.35,4,False,False,False,False,False,False,True,False,False
23,80000,3.0,5500,5.42,0.07,2,False,False,False,False,False,False,False,True,False
24,36000,1.0,7000,6.03,0.19,3,False,False,True,False,False,True,False,False,False
33,22800,0.0,2000,8.49,0.09,10,False,False,True,False,False,True,False,False,False
31,33000,6.0,5000,14.96,0.15,6,False,True,False,False,False,False,False,False,False
24,42000,0.0,15000,11.58,0.36,4,False,False,True,False,False,False,False,True,False
23,120000,4.0,10000,11.011694892245036,0.08,2,False,False,False,False,False,False,True,False,False
21,58800,5.0,25000,14.09,0.43,2,False,False,False,True,False,False,False,False,False
29,125000,0.0,10000,14.35,0.08,9,False,False,False,False,True,False,False,False,True
26,67000,1.0,29000,7.51,0.43,2,False,False,False,False,False,False,False,True,False
32,348000,16.0,25000,11.83,0.07,10,False,False,False,False,False,False,True,False,False
26,45000,10.0,8000,6.99,0.18,2,False,False,False,False,True,False,False,False,False
29,30000,3.0,3000,11.011694892245036,0.1,6,False,False,True,False,False,False,False,False,True
41,43439,4.0,15000,12.73,0.35,15,False,False,True,False,False,True,False,False,False
22,100000,0.0,20000,11.83,0.2,2,False,False,False,False,False,False,False,False,False
27,39000,4.0,7200,10.65,0.18,5,False,False,True,False,False,False,False,False,False
45,43800,0.0,5000,11.011694892245036,0.11,14,False,False,True,True,False,False,False,False,False
26,45000,5.0,8000,18.25,0.18,2,False,False,True,True,False,False,False,False,False
21,55000,5.0,12000,10.62,0.22,2,False,False,True,False,False,False,False,True,False
22,40000,0.0,6000,11.48,0.15,4,False,True,False,True,False,False,False,False,False
29,91560,8.0,22000,6.91,0.24,8,False,False,False,False,False,False,False,False,False
22,65000,6.0,17000,8.94,0.26,2,False,False,False,False,False,False,False,True,False
23,71496,7.0,10000,7.51,0.14,2,False,False,True,True,False,False,False,False,False
24,69000,9.0,3000,11.11,0.04,2,False,False,False,False,False,False,False,False,False
23,30000,7.0,3600,9.7,0.12,3,False,False,True,True,False,False,False,False,False
33,45000,2.0,9600,8.49,0.21,5,False,False,True,True,False,False,False,False,False
39,36000,3.0,5000,11.011694892245036,0.14,16,False,False,True,False,False,True,False,False,False
24,55000,1.0,5225,9.91,0.1,4,False,False,False,False,False,True,False,False,False
23,105504,5.0,15000,15.95,0.14,3,False,False,True,False,False,False,False,True,True
22,91800,0.0,16800,15.62,0.16,4,False,False,False,False,False,True,False,False,True
34,39000,5.0,7200,11.71,0.18,5,False,False,True,False,True,False,False,False,False
26,95000,1.0,15000,10.37,0.16,4,False,False,False,False,False,False,False,True,False
26,53000,8.0,16000,10.25,0.3,2,False,True,False,False,False,False,True,False,False
28,33000,1.0,7500,15.31,0.23,10,False,True,False,False,False,False,True,False,False
24,32000,1.0,6000,13.49,0.19,3,False,False,True,False,True,False,False,False,False
34,72960,1.0,11000,12.21,0.15,8,False,False,False,False,False,True,False,False,False
27,168000,5.0,24000,17.26,0.14,9,False,False,False,False,False,False,False,False,False
28,32468,12.0,6000,7.51,0.18,5,False,False,False,False,False,False,False,True,False
22,60000,0.0,13000,8.94,0.22,2,False,False,True,False,False,False,False,False,False
22,91000,6.0,8000,6.92,0.09,4,False,False,True,False,False,True,False,False,False
30,50000,0.0,10000,16.89,0.2,10,False,False,False,True,False,False,False,False,False
30,96000,7.0,6000,11.49,0.06,6,False,False,False,False,False,False,True,False,False
26,69846,2.0,22500,18.99,0.32,2,False,False,True,True,False,False,False,False,True
31,30000,0.0,5500,15.21,0.18,7,False,False,True,False,True,False,False,False,True
25,25000,1.0,5200,12.53,0.21,3,False,False,True,True,False,False,False,False,True
22,21600,2.0,3000,13.49,0.14,3,False,False,True,True,False,False,False,False,False
25,90000,9.0,25000,10.99,0.28,4,False,False,True,False,False,True,False,False,False
21,20400,2.0,1275,15.23,0.06,3,False,True,False,True,False,False,False,False,True
26,92000,0.0,6000,15.58,0.07,3,False,False,True,False,False,False,False,True,False
22,47004,2.0,5550,7.49,0.12,4,False,False,True,False,False,False,False,True,False
44,108000,12.0,10000,11.11,0.09,11,False,False,False,False,True,False,False,False,False
31,59534,5.0,15000,15.21,0.25,10,False,False,True,False,False,False,True,False,True
23,30996,2.0,5000,11.86,0.16,2,False,True,False,False,False,False,False,True,False
23,63000,7.0,2500,14.72,0.04,2,False,False,True,True,False,False,False,False,False
22,30000,6.0,2500,7.29,0.08,3,False,True,False,True,False,False,False,False,False
22,31200,3.0,3200,10.99,0.1,2,False,False,False,False,False,False,False,True,False
36,73000,3.0,4000,11.12,0.05,16,False,False,True,False,False,False,True,False,False
27,140000,8.0,28000,15.65,0.2,5,False,True,False,False,False,False,True,False,False
22,34000,2.0,8000,9.91,0.24,4,False,False,True,False,False,False,False,False,False
27,80000,5.0,35000,11.011694892245036,0.44,8,False,False,False,False,False,False,False,True,False
31,50000,7.0,4800,6.03,0.1,7,False,False,False,False,False,False,False,False,False
33,96000,0.0,8000,13.72,0.08,5,False,False,False,False,False,False,False,False,False
22,80000,1.0,18000,10.99,0.23,4,False,False,True,True,False,False,False,False,False
30,75000,5.0,22000,10.62,0.29,10,False,False,True,False,True,False,False,False,False
24,90000,2.0,11000,11.14,0.12,3,False,False,True,True,False,False,False,False,False
23,66215,1.0,25000,15.37,0.32,2,False,False,True,False,False,True,False,False,True
29,163000,4.0,4000,16.29,0.02,6,False,False,True,False,False,False,False,True,False
34,75000,2.0,12000,7.29,0.16,8,False,False,True,False,False,False,False,True,False
25,25000,5.0,3450,11.99,0.14,4,False,False,True,False,True,False,False,False,False
29,48000,6.0,15000,13.98,0.31,10,False,False,False,False,False,False,False,False,False
28,36000,1.0,1400,15.37,0.04,9,False,False,False,False,False,False,True,False,True
28,75000,12.0,15250,11.34,0.2,5,False,False,False,False,False,False,False,True,False
25,77650,8.0,22000,11.48,0.28,3,False,False,True,False,False,False,True,False,False
31,75000,8.0,15600,11.83,0.21,5,False,False,False,False,False,False,False,True,False
34,42000,7.0,7500,11.11,0.18,7,False,False,False,False,False,True,False,False,False
24,46000,0.0,5975,14.46,0.13,2,False,False,True,True,False,False,False,False,True
23,27600,2.0,2000,13.99,0.07,3,False,False,True,False,False,False,False,False,False
33,48000,17.0,7000,6.62,0.15,8,False,False,False,False,False,False,False,True,False
31,123000,7.0,15000,6.91,0.12,7,False,False,False,False,False,True,False,False,False
33,62000,1.0,3000,6.99,0.05,9,False,False,True,False,False,False,True,False,False
23,54000,7.0,2500,16.32,0.05,2,False,False,True,True,False,False,False,False,True
26,70000,0.0,12000,5.99,0.17,4,False,False,True,True,False,False,False,False,False
21,72000,1.0,7500,13.22,0.1,3,False,False,True,True,False,False,False,False,False
34,80000,4.0,11000,10.99,0.14,6,False,False,False,False,True,False,False,False,False
